Gene,SYMBOL,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
g1019,g1019,3.478510143,4.788927373,3.265948636,3.501425598,4.452816499,3.563674452,3.353380765,3.751881461,4.712239488,5.063739065,3.825323724,5.569964026
g10190,g10190,-0.558806551,1.034174706,-2.750286568,2.67971258,-1.557037278,-0.793092639,0.326051126,0.879620826,-0.326676827,1.328348669,-1.603990793,0.313522374
g10191,g10191,-2.750286568,-0.457183801,1.64302122,2.180042278,2.531148358,2.310437187,-0.564737821,0.168658483,0.146875605,1.186990566,-2.750286568,2.676438431
g10192,CIITA,-2.750286568,-2.750286568,-2.750286568,0.837656486,0.047488196,0.095619703,-1.302385011,-0.333702865,0.155943494,-0.222681308,-0.869976078,0.18693741
g10193,g10193,2.119289198,2.67305183,2.649045622,-2.750286568,-2.750286568,-1.514134382,-2.750286568,-1.965572135,-0.054492401,1.175436001,-2.750286568,-0.499359497
g10194,CIITA,-0.33209793,-0.125332048,1.616633994,3.246964095,1.715242774,1.664957547,1.345164227,2.295168748,1.586133231,2.290626381,-1.43756759,2.523746814
g10195,SEMA4D,2.812274436,3.053005404,2.790029605,2.620489261,4.03513464,3.45598216,2.114976284,3.043391637,2.972541629,4.037536468,3.344626135,3.103083507
g10196,g10196,-2.750286568,-2.750286568,1.633425093,1.114414225,1.927981015,2.477392585,-2.067323618,0.289423445,-0.294791967,1.458299934,-2.750286568,2.221503523
g10197,TNR,1.108451892,3.276366975,2.048089779,1.410056273,4.302558406,4.491823336,0.126533468,2.312180887,3.6366954,2.107316651,3.304344478,3.437150131
g10198,TNR,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10199,TNC,-1.35335206,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-0.446683765,-1.685159815,-0.973939867,-2.750286568,0.625043576,0.992935053
